s_no,symbol,conf,open,high,low,close,vwap,vol,prev_close,turnover,trans,diff,range,diff_2,range_2,vwap_2,x120_days,x180_days,x52_weeks_high,x52_weeks_low,date
3,ADBLD83,42.6,965.00,965.00,965.00,965.00,965.00,50.00,970.00,"48,250.00",1,-5,0,-0.52,0,0,"1,022.74",-,"1,150.00",945.70,2022-06-22
4,AHPC,34.8,367.00,367.00,347.00,347.00,352.02,"44,249.00",362.00,"15,576,707.00",315,-15,20,-4.14,5.76,-1.45,462.24,463.01,785.00,345.00,2022-06-22
5,AIL,37.6,442.00,442.00,430.00,440.00,435.01,"1,480.00",450.00,"643,816.00",51,-10,12,-2.22,2.79,1.13,645.73,666.48,900.00,430.00,2022-06-22
6,AKBSL,38.36,809.80,873.40,809.80,873.40,870.92,630.00,794.00,"548,679.00",18,79.4,63.6,10,7.85,0.28,-,-,"1,250.00",391.50,2022-06-22
7,AKJCL,34.4,193.50,193.50,185.00,185.00,187.44,"17,087.00",192.00,"3,202,723.50",166,-7,8.5,-3.65,4.59,-1.32,271.14,287.53,502.00,184.00,2022-06-22
8,AKPL,30.72,410.00,411.00,397.00,400.00,401.16,"33,105.00",410.00,"13,280,527.50",265,-10,14,-2.44,3.53,-0.29,490.37,508.78,882.40,377.30,2022-06-22
9,ALBSL,33.19,"1,200.00","1,224.00","1,180.00","1,224.00","1,187.89",699.00,"1,208.50","830,337.10",14,15.5,44,1.28,3.73,2.95,"1,412.96","1,447.70","2,101.20","1,157.00",2022-06-22
10,ALICL,38.03,520.00,520.00,505.70,509.00,510.32,"19,377.00",527.00,"9,888,489.00",139,-18,14.3,-3.42,2.83,-0.26,869.44,975.34,"1,513.00",496.00,2022-06-22
11,API,36.32,249.90,251.00,239.00,239.00,241.66,"67,088.00",248.80,"16,212,729.50",358,-9.8,12,-3.94,5.02,-1.11,403.93,422.58,670.00,236.30,2022-06-22
12,BARUN,31.8,403.30,407.00,395.00,403.00,399.44,"8,126.00",410.00,"3,245,809.30",70,-7,12,-1.71,3.04,0.88,479.73,473.73,763.40,345.60,2022-06-22
13,BBC,30.31,"3,350.00","3,350.00","3,350.00","3,350.00","3,350.00",30.00,"3,400.00","100,500.00",3,-50,0,-1.47,0,0,"4,374.23","4,638.95","8,124.30","3,265.40",2022-06-22
14,BFC,36.61,350.00,350.00,332.00,332.60,335.44,"5,201.00",344.80,"1,744,623.20",79,-12.2,18,-3.54,5.42,-0.85,439.16,453.01,630.00,310.00,2022-06-22
15,BHL,30.27,237.10,237.10,219.50,224.50,224.16,"7,003.00",232.50,"1,569,792.90",189,-8,17.6,-3.44,8.02,0.15,-,-,328.10,104.70,2022-06-22
16,BNHC,29.7,343.50,350.00,333.20,340.00,338.37,"1,578.00",350.00,"533,944.00",31,-10,16.8,-2.86,5.04,0.48,-,-,744.00,246.70,2022-06-22
17,BNT,33.41,"12,295.00","12,295.00","11,951.30","11,980.00","12,038.88",272.00,"12,444.00","3,274,574.00",20,-464,343.7,-3.73,2.88,-0.49,"14,071.93","13,112.90","17,670.00","9,750.00",2022-06-22
18,BPCL,35.69,310.00,310.00,300.00,306.00,302.57,"6,637.00",309.00,"2,008,143.20",101,-3,10,-0.97,3.33,1.12,398.66,429.78,703.00,295.20,2022-06-22
19,CBBL,35.57,942.00,950.00,935.00,942.00,941.20,"7,210.00",940.10,"6,786,066.00",152,1.9,15,0.2,1.6,0.08,"1,179.86","1,342.64","2,065.20",927.00,2022-06-22
20,CBL,26.51,200.00,205.00,200.00,202.20,202.55,"31,126.00",203.00,"6,304,712.10",132,-0.8,5,-0.39,2.5,-0.18,231.19,236.64,316.00,196.10,2022-06-22
21,CCBL,39.38,190.80,194.00,189.00,189.00,189.66,"33,424.00",194.50,"6,339,148.50",192,-5.5,5,-2.83,2.65,-0.35,226.22,229.28,324.00,186.50,2022-06-22
22,CFCL,36.8,270.00,270.00,252.80,253.00,255.44,"8,591.00",265.00,"2,194,492.60",71,-12,17.2,-4.53,6.8,-0.96,396.73,439.50,814.90,245.00,2022-06-22
23,CGH,36.14,965.00,983.00,955.00,958.00,966.72,"1,055.00",984.00,"1,019,885.40",49,-26,28,-2.64,2.93,-0.91,"1,308.08","1,341.74","1,790.00",950.00,2022-06-22
24,CHCL,37.92,369.00,369.00,360.00,365.00,362.95,"11,488.00",367.10,"4,169,597.10",95,-2.1,9,-0.57,2.5,0.56,471.41,504.24,760.00,359.00,2022-06-22
25,CHDC,33.96,663.50,671.00,657.00,671.00,660.54,"2,073.00",677.00,"1,369,306.00",57,-6,14,-0.89,2.13,1.56,841.62,845.28,"1,415.00",560.00,2022-06-22
26,CHL,36.34,243.10,243.90,235.10,240.00,238.70,"8,115.00",248.00,"1,937,015.80",87,-8,8.8,-3.23,3.74,0.54,400.95,432.54,715.00,233.00,2022-06-22
27,CIT,39.55,"2,301.00","2,310.00","2,270.00","2,288.00","2,282.11","3,754.00","2,321.00","8,567,048.40",109,-33,40,-1.42,1.76,0.26,"2,989.48","3,076.90","4,560.00","2,239.00",2022-06-22
28,CLBSL,38.96,734.00,734.00,706.00,706.00,713.10,270.00,734.00,"192,538.00",16,-28,28,-3.81,3.97,-1.01,936.17,"1,015.66","1,811.00",695.80,2022-06-22
29,CMF1,32.72,8.35,8.51,8.34,8.51,8.36,"119,000.00",8.35,"995,160.00",15,0.16,0.17,1.92,2.04,1.73,9.49,9.63,16.01,8.25,2022-06-22
30,CMF2,27.34,9.10,9.10,9.10,9.10,9.10,470.00,9.19,"4,277.00",3,-0.09,0,-0.98,0,0,9.91,9.97,16.87,9.04,2022-06-22
31,CORBL,31.32,257.00,261.00,239.30,240.00,245.40,"5,127.00",252.00,"1,258,162.00",81,-12,21.7,-4.76,9.07,-2.25,525.34,633.89,"1,155.00",238.00,2022-06-22
32,CZBIL,36.72,213.00,213.00,210.00,211.00,211.21,"12,381.00",213.50,"2,614,942.50",94,-2.5,3,-1.17,1.43,-0.1,264.19,280.32,444.00,205.00,2022-06-22
33,DDBL,35.68,920.00,925.00,905.00,910.00,912.30,"3,555.00",920.00,"3,243,211.50",82,-10,20,-1.09,2.21,-0.25,"1,130.81","1,183.39","2,000.00",899.00,2022-06-22
34,DHPL,27.7,197.60,197.60,184.70,188.00,188.68,"3,850.00",193.80,"726,411.10",39,-5.8,12.9,-2.99,6.98,-0.36,277.71,290.33,485.20,184.70,2022-06-22
35,EBL,42.6,459.80,459.80,438.10,445.00,440.94,"9,723.00",450.80,"4,287,213.20",93,-5.8,21.7,-1.29,4.95,0.91,531.63,569.06,805.00,425.10,2022-06-22
36,EDBL,38.17,338.00,339.00,331.30,334.00,333.92,"3,392.00",344.00,"1,132,661.30",25,-10,7.7,-2.91,2.32,0.02,459.70,505.58,"1,195.00",328.00,2022-06-22
37,EDBLPO,36.22,250.00,250.00,250.00,250.00,250.00,"60,000.00",250.00,"15,000,000.00",1,0,0,0,0,0,-,-,579.00,250.00,2022-06-22
38,ENL,32.95,615.00,620.00,605.00,612.00,608.24,"1,104.00",623.40,"671,501.00",28,-11.4,15,-1.83,2.48,0.61,-,-,"1,481.90",287.10,2022-06-22
39,FMDBL,40.6,620.00,622.20,597.00,597.00,600.96,"5,437.00",610.00,"3,267,431.50",60,-13,25.2,-2.13,4.22,-0.66,763.88,801.25,"1,365.00",559.00,2022-06-22
40,FOWAD,35.83,"2,262.00","2,315.00","2,262.00","2,315.00","2,289.46","2,565.00","2,298.00","5,872,475.50",78,17,53,0.74,2.34,1.1,"2,295.53","2,444.44","3,311.00","2,000.00",2022-06-22
41,GBBL,35.85,346.00,350.00,339.20,343.00,342.97,"18,423.00",353.00,"6,318,556.80",104,-10,10.8,-2.83,3.18,0.01,483.23,511.31,750.00,334.20,2022-06-22
42,GBILD86/87,21.62,960.40,960.40,960.40,960.40,960.40,10.00,980.00,"9,604.00",1,-19.6,0,-2,0,0,-,-,"1,000.00",850.00,2022-06-22
43,GBLBS,37.22,687.00,693.90,675.00,680.00,683.84,"4,258.00",699.00,"2,911,797.00",44,-19,18.9,-2.72,2.8,-0.56,893.15,921.31,"1,437.00",665.00,2022-06-22
44,GFCL,31.94,375.00,380.20,373.00,375.00,375.89,"3,771.00",382.00,"1,417,480.60",50,-7,7.2,-1.83,1.93,-0.24,557.69,608.04,"1,010.00",363.10,2022-06-22
45,GHL,38.16,201.90,201.90,187.00,187.00,190.01,"8,051.00",198.00,"1,529,797.90",85,-11,14.9,-5.56,7.97,-1.61,290.14,312.44,555.90,183.00,2022-06-22
46,GIC,36.72,383.20,385.00,377.00,377.00,379.92,822.00,391.00,"312,296.50",34,-14,8,-3.58,2.12,-0.78,559.94,568.03,809.00,370.00,2022-06-22
47,GILB,43.59,"1,159.00","1,204.80","1,159.00","1,190.00","1,189.24","2,286.00","1,180.00","2,718,599.00",56,10,45.8,0.85,3.95,0.06,"1,516.29","1,681.68","3,050.00","1,152.10",2022-06-22
48,GIMES1,32.55,9.00,9.75,9.00,9.75,9.44,"80,095.00",8.86,"756,033.85",37,0.89,0.75,10.05,8.33,3.19,11.25,13.91,25.09,8.85,2022-06-22
49,GLBSL,38.94,"1,059.00","1,059.00",961.00,"1,005.00",994.99,471.00,"1,039.00","468,642.60",16,-34,98,-3.27,10.2,1,"1,235.68","1,292.37","2,210.00",935.00,2022-06-22
50,GLH,36.81,329.00,329.00,305.10,319.20,310.61,"4,140.00",325.00,"1,285,936.80",74,-5.8,23.9,-1.78,7.83,2.69,427.27,431.48,657.00,305.10,2022-06-22
51,GMFBS,33.05,900.00,900.00,897.20,900.00,898.52,94.00,915.40,"84,461.20",6,-15.4,2.8,-1.68,0.31,0.16,"1,163.93","1,269.58","1,972.00",864.40,2022-06-22
52,GMFIL,33.62,247.00,250.00,238.30,242.00,243.80,"4,062.00",252.00,"990,332.10",47,-10,11.7,-3.97,4.91,-0.75,388.81,427.65,773.00,238.30,2022-06-22
53,GRDBL,38.04,202.30,203.90,200.00,203.00,202.62,"1,437.00",206.00,"291,165.10",26,-3,3.9,-1.46,1.95,0.19,314.30,336.93,537.90,190.60,2022-06-22
54,GUFL,42.24,382.00,389.90,365.10,379.90,377.49,"14,561.00",386.00,"5,496,622.20",95,-6.1,24.8,-1.58,6.79,0.63,602.18,693.51,"1,500.00",357.00,2022-06-22
55,GVL,26.79,285.00,286.60,278.00,286.60,282.19,"9,925.00",290.70,"2,800,704.80",229,-4.1,8.6,-1.41,3.09,1.54,-,-,436.40,256.00,2022-06-22
56,HBL,36.78,303.00,303.00,293.00,299.50,295.71,"14,215.00",303.00,"4,203,483.90",99,-3.5,10,-1.16,3.41,1.27,517.04,541.88,505.00,290.80,2022-06-22
57,HDHPC,38.98,196.00,196.00,182.50,183.00,186.92,"24,347.00",193.90,"4,550,900.70",183,-10.9,13.5,-5.62,7.4,-2.14,283.31,300.11,478.90,171.70,2022-06-22
58,HDL,38.62,"3,035.00","3,035.00","3,000.00","3,006.00","3,011.83","5,043.00","3,035.00","15,188,652.40",218,-29,35,-0.96,1.17,-0.19,"4,013.47","4,863.89","7,938.00","2,970.00",2022-06-22
59,HIDCL,38.84,193.00,195.00,188.00,190.00,189.56,"48,776.00",193.00,"9,245,936.70",389,-3,7,-1.55,3.72,0.23,274.68,290.18,575.00,181.00,2022-06-22
60,HPPL,29.06,292.10,303.70,290.00,299.70,296.57,"4,525.00",298.00,"1,342,000.50",38,1.7,13.7,0.57,4.72,1.04,432.37,441.66,749.10,284.00,2022-06-22
61,HURJA,33.18,217.00,217.00,208.00,208.00,209.46,"2,126.00",220.00,"445,307.70",32,-12,9,-5.45,4.33,-0.7,400.35,412.27,685.40,201.90,2022-06-22
62,ICFC,34.02,400.00,402.00,386.00,390.00,391.29,"19,387.00",396.50,"7,585,986.70",151,-6.5,16,-1.64,4.15,-0.33,581.57,641.54,"1,176.80",379.00,2022-06-22
63,IGI,35.56,375.00,375.00,356.00,360.00,362.07,"10,664.00",371.00,"3,861,102.80",112,-11,19,-2.96,5.34,-0.57,728.10,819.35,"1,342.00",353.10,2022-06-22
64,ILBS,43.73,930.10,935.00,901.00,929.00,917.75,720.00,949.00,"660,777.90",36,-20,34,-2.11,3.77,1.21,"1,202.65","1,356.24","2,140.00",865.00,2022-06-22
65,JALPA,35.64,"2,115.20","2,149.90","2,115.20","2,130.00","2,129.97","1,304.00","2,148.00","2,777,474.50",71,-18,34.7,-0.84,1.64,0,-,-,"2,693.40",318.60,2022-06-22
66,JBBL,36.75,278.00,278.00,267.60,268.50,272.15,"35,252.00",281.00,"9,593,914.50",227,-12.5,10.4,-4.45,3.89,-1.36,386.84,424.75,649.90,264.60,2022-06-22
67,JBLB,35.37,"2,775.00","2,790.00","2,721.00","2,755.00","2,757.36","1,773.00","2,774.00","4,888,803.00",95,-19,69,-0.68,2.54,-0.09,"3,846.84","3,996.33","5,516.90",890.00,2022-06-22
68,JFL,37.66,346.00,354.00,340.00,346.00,346.37,"4,708.00",353.00,"1,630,719.00",40,-7,14,-1.98,4.12,-0.11,499.83,540.26,836.00,330.00,2022-06-22
69,JLI,34.32,362.00,366.00,350.00,357.90,357.22,"5,435.00",362.00,"1,941,485.20",113,-4.1,16,-1.13,4.57,0.19,567.56,570.87,826.20,339.70,2022-06-22
70,JOSHI,37.58,193.00,193.00,183.00,186.00,186.31,"2,610.00",190.00,"486,261.00",45,-4,10,-2.11,5.46,-0.16,277.57,299.87,507.00,181.40,2022-06-22
71,JSLBB,29.56,"1,748.80","1,748.80","1,661.00","1,692.50","1,684.25",516.00,"1,715.00","869,074.50",21,-22.5,87.8,-1.31,5.29,0.49,"2,234.60","2,505.91","4,022.80","1,661.00",2022-06-22
72,KBL,32.31,200.00,204.00,197.00,197.30,198.30,"75,562.00",200.20,"14,984,284.20",241,-2.9,7,-1.45,3.55,-0.51,235.03,247.75,413.00,195.40,2022-06-22
73,KBLPO,39.71,128.00,128.00,128.00,128.00,128.00,"15,294.00",128.00,"1,957,632.00",1,0,0,0,0,0,132.13,-,174.53,127.50,2022-06-22
74,KEF,29.88,8.05,8.20,8.05,8.16,8.14,970.00,8.20,"7,895.00",8,-0.04,0.15,-0.49,1.86,0.26,9.10,9.21,11.65,8.04,2022-06-22
75,KKHC,33.79,195.00,195.00,188.00,193.00,189.99,"5,912.00",192.00,"1,123,232.60",56,1,7,0.52,3.72,1.56,277.70,295.21,556.20,184.30,2022-06-22
76,KLBSL,36.62,873.00,873.00,810.00,812.00,826.49,239.00,856.00,"197,531.80",17,-44,63,-5.14,7.78,-1.78,"1,370.28","1,370.71","1,818.00",810.00,2022-06-22
77,KLBSLP,40.19,671.00,671.00,671.00,671.00,671.00,"5,000.00",671.00,"3,355,000.00",8,0,0,0,0,0,-,-,890.00,671.00,2022-06-22
78,KMCDB,32.59,"1,075.00","1,075.00","1,033.00","1,033.10","1,038.10","1,015.00","1,075.00","1,053,674.10",22,-41.9,42,-3.9,4.07,-0.48,"1,237.84","1,241.06","1,715.00","1,005.00",2022-06-22
79,KPCL,34.19,343.00,343.00,339.00,339.00,340.34,"2,259.00",350.00,"768,835.00",23,-11,4,-3.14,1.18,-0.4,474.30,506.03,878.90,336.00,2022-06-22
80,KRBL,35.44,227.00,227.00,221.10,221.10,223.74,"1,720.00",224.00,"384,828.50",16,-2.9,5.9,-1.29,2.67,-1.19,365.32,385.63,607.00,215.10,2022-06-22
81,KSBBL,36.97,324.10,324.10,313.00,319.90,317.81,"9,788.00",324.10,"3,110,730.10",107,-4.2,11.1,-1.3,3.55,0.65,456.63,503.22,866.90,310.00,2022-06-22
82,KSBBLP,25.73,310.00,310.00,310.00,310.00,310.00,"14,012.00",310.00,"4,343,720.00",1,0,0,0,0,0,-,-,381.00,121.00,2022-06-22
83,LBBL,36.21,320.50,322.00,313.00,315.50,316.66,"27,519.00",327.00,"8,714,096.50",175,-11.5,9,-3.52,2.88,-0.37,450.81,484.92,774.00,308.70,2022-06-22
84,LBL,37.17,202.00,204.00,197.90,200.00,198.89,"17,563.00",205.50,"3,493,046.60",147,-5.5,6.1,-2.68,3.08,0.56,260.08,279.37,444.00,196.00,2022-06-22
85,LEC,25.05,228.00,230.00,216.90,228.00,222.28,"1,046.00",228.00,"232,506.60",30,0,13.1,0,6.04,2.51,336.68,343.05,530.00,216.90,2022-06-22
86,LEMF,46.7,9.88,9.94,9.88,9.94,9.92,"15,800.00",9.75,"156,752.00",4,0.19,0.06,1.95,0.61,0.19,10.30,10.20,19.34,9.16,2022-06-22
87,LGIL,38.41,406.00,416.00,395.00,405.80,405.24,"9,239.00",412.90,"3,743,973.80",49,-7.1,21,-1.72,5.32,0.14,656.66,665.22,975.00,390.10,2022-06-22
88,LICN,45.57,"1,160.00","1,179.00","1,112.00","1,129.90","1,118.14","9,483.00","1,158.00","10,603,316.00",78,-28.1,67,-2.43,6.03,1.04,"1,843.37","1,877.89","2,555.00","1,065.00",2022-06-22
89,LLBS,33.38,"1,105.00","1,130.20","1,102.70","1,130.20","1,109.35","1,413.00","1,125.00","1,567,507.60",17,5.2,27.5,0.46,2.49,1.85,"1,387.35","1,490.56","2,528.00","1,090.10",2022-06-22
90,LUK,35.38,9.18,9.53,9.18,9.53,9.47,"21,650.00",9.35,"205,035.50",8,0.18,0.35,1.93,3.81,0.62,10.03,9.98,16.00,9.01,2022-06-22
91,MBJC,37.47,218.00,218.00,209.80,215.80,212.88,"5,399.00",218.00,"1,149,365.70",210,-2.2,8.2,-1.01,3.91,1.35,-,-,505.00,100.00,2022-06-22
92,MBL,33.79,238.50,239.00,230.30,235.00,233.89,"31,016.00",238.50,"7,254,389.20",191,-3.5,8.7,-1.47,3.78,0.47,292.52,307.80,455.00,228.00,2022-06-22
93,MDB,33.83,333.00,333.00,314.10,322.00,324.37,"3,796.00",338.00,"1,231,314.30",34,-16,18.9,-4.73,6.02,-0.74,470.67,516.35,873.20,314.10,2022-06-22
94,MEN,35.94,784.00,786.00,757.00,776.00,765.26,"2,730.00",800.00,"2,089,162.00",53,-24,29,-3,3.83,1.38,"1,061.38","1,086.60","1,530.00",750.80,2022-06-22
95,MERO,31.87,830.00,830.00,796.00,807.00,803.67,"2,128.00",815.00,"1,710,215.10",45,-8,34,-0.98,4.27,0.41,"1,024.69","1,121.71","1,820.00",786.00,2022-06-22
96,MFIL,36.88,396.00,399.90,390.00,396.90,393.88,"6,581.00",400.50,"2,592,120.40",92,-3.6,9.9,-0.9,2.54,0.76,596.61,751.78,"1,456.00",384.00,2022-06-22
97,MHNL,27.02,240.00,240.70,228.40,240.70,233.31,"11,700.00",242.00,"2,729,717.00",73,-1.3,12.3,-0.54,5.39,3.07,401.13,412.83,720.00,228.40,2022-06-22
98,MKJC,31.91,413.00,413.10,389.10,413.10,396.86,734.00,412.00,"291,292.00",30,1.1,24,0.27,6.17,3.93,547.26,-,733.90,186.50,2022-06-22
99,MKLB,35.7,868.00,882.50,842.00,842.00,867.54,325.00,867.00,"281,949.80",19,-25,40.5,-2.88,4.81,-3.03,"1,212.23","1,371.47","2,310.00",296.70,2022-06-22
100,MLBBL,39.7,"1,185.00","1,208.00","1,143.00","1,208.00","1,183.27",826.00,"1,209.00","977,378.60",15,-1,65,-0.08,5.69,2.05,"1,524.27","1,639.49","2,450.00","1,120.20",2022-06-22
101,MLBL,32.59,339.00,339.00,326.30,328.00,329.84,"18,120.00",335.20,"5,976,723.30",169,-7.2,12.7,-2.15,3.89,-0.56,449.00,508.77,883.00,321.00,2022-06-22
102,MLBS,31.72,980.00,995.00,940.00,958.80,965.45,330.00,969.00,"318,600.00",15,-10.2,55,-1.05,5.85,-0.69,"1,304.96",-,"2,189.10",397.50,2022-06-22
103,MLBSL,33.31,"3,331.00","3,349.00","3,285.00","3,307.00","3,309.80",663.00,"3,330.00","2,194,399.40",35,-23,64,-0.69,1.95,-0.08,"3,577.29","3,927.30","5,600.00","3,029.00",2022-06-22
104,MMF1,37.41,7.85,8.00,7.72,7.84,7.95,"32,810.00",7.85,"260,720.50",18,-0.01,0.28,-0.13,3.63,-1.36,8.69,-,10.28,7.31,2022-06-22
105,MMFDB,34.06,"1,016.00","1,016.00","1,000.00","1,015.90","1,002.66",120.00,"1,035.00","120,319.00",3,-19.1,16,-1.85,1.6,1.3,"1,266.40","1,347.38","2,095.00",973.00,2022-06-22
106,MNBBL,34.44,406.00,406.00,390.00,395.00,393.85,"22,711.00",400.00,"8,944,731.40",173,-5,16,-1.25,4.1,0.29,494.75,546.00,850.00,386.00,2022-06-22
107,MPFL,40.58,227.00,227.40,218.10,223.00,225.07,"2,615.00",231.00,"588,557.00",41,-8,9.3,-3.46,4.26,-0.93,363.49,403.15,696.00,215.70,2022-06-22
108,MSLB,38.23,"1,035.00","1,035.00","1,025.00","1,030.00","1,031.22",115.00,"1,052.10","118,590.00",6,-22.1,10,-2.1,0.98,-0.12,"1,399.79","1,565.85","2,496.00",980.00,2022-06-22
109,MSLBP,27.79,560.00,560.00,560.00,560.00,560.00,"7,000.00",560.00,"3,920,000.00",1,0,0,0,0,0,-,-,"1,210.00",560.00,2022-06-22
110,"NABBC",24.98,355.00,359.90,353.10,359.80,358.01,650.00,359.00,"232,706.00",13,0.8,6.8,0.22,1.93,0.5,466.50,570.27,"1,251.10",333.00,2022-06-22
111,"NABIL",36.29,799.00,799.90,778.00,782.00,786.15,"43,206.00",792.00,"33,966,548.60",811,-10,21.9,-1.26,2.81,-0.53,"1,022.09","1,177.86","1,740.00",778.00,2022-06-22
112,NBF2,21.85,9.61,9.61,9.31,9.31,9.47,"35,100.00",9.61,"332,489.00",18,-0.3,0.3,-3.12,3.22,-1.75,10.76,10.83,17.00,9.31,2022-06-22
113,NBF3,44.17,8.24,8.40,8.08,8.25,8.35,"18,100.00",8.40,"151,182.00",17,-0.15,0.32,-1.79,3.96,-1.24,9.08,-,10.08,7.92,2022-06-22
114,NBL,39.56,280.80,280.90,273.00,274.00,274.85,"97,334.00",277.00,"26,752,710.20",354,-3,7.9,-1.08,2.89,-0.31,332.55,370.65,575.00,270.00,2022-06-22
115,NBLD85,33.31,832.00,836.00,832.00,836.00,833.33,75.00,818.30,"62,500.00",2,17.7,4,2.16,0.48,0.32,-,-,"1,000.00",818.20,2022-06-22
116,NCCB,27.66,215.00,216.50,211.00,211.90,212.86,"119,690.00",217.00,"25,477,691.50",405,-5.1,5.5,-2.35,2.61,-0.45,247.27,263.29,407.00,202.00,2022-06-22
117,NEF,33.77,9.10,9.65,9.10,9.65,9.27,"14,923.00",9.26,"138,355.18",8,0.39,0.55,4.21,6.04,3.92,10.64,10.83,17.49,8.92,2022-06-22
118,NESDO,33.61,"2,006.00","2,051.00","2,006.00","2,014.10","2,024.47","2,573.00","2,046.00","5,208,949.50",127,-31.9,45,-1.56,2.24,-0.51,-,-,"3,312.50",747.70,2022-06-22
119,NFS,34.49,252.00,252.00,240.00,244.00,243.37,"7,746.00",248.00,"1,885,122.50",45,-4,12,-1.61,5,0.26,523.75,531.25,806.00,236.20,2022-06-22
120,NGPL,35.28,495.00,502.00,488.00,492.00,492.61,"14,831.00",503.90,"7,305,928.00",134,-11.9,14,-2.36,2.87,-0.12,623.91,642.75,"1,397.00",422.00,2022-06-22
121,NHDL,34.84,346.80,353.00,326.00,335.00,331.80,"4,312.00",340.00,"1,430,736.80",55,-5,27,-1.47,8.28,0.95,456.09,468.57,840.00,322.00,2022-06-22
122,NHPC,34.12,228.00,228.00,215.00,216.50,217.93,"96,383.00",226.40,"21,004,853.20",589,-9.9,13,-4.37,6.05,-0.66,320.20,348.20,530.90,215.00,2022-06-22
123,NIBLPF,36.81,9.98,9.98,9.79,9.98,9.86,"3,275.00",9.97,"32,280.25",5,0.01,0.19,0.1,1.94,1.24,10.64,10.63,20.68,9.30,2022-06-22
124,NIBSF2,29.19,7.91,8.06,7.90,8.00,8.04,"22,750.00",7.77,"182,958.00",8,0.23,0.16,2.96,2.03,-0.53,8.91,9.10,11.53,7.60,2022-06-22
125,NICA,36.46,685.00,685.00,669.50,670.00,674.31,"36,984.00",685.00,"24,938,602.30",435,-15,15.5,-2.19,2.32,-0.64,784.70,798.64,"1,085.00",669.50,2022-06-22
126,NICBF,42.85,10.00,10.10,9.85,9.90,9.94,"111,825.00",10.15,"1,111,841.50",23,-0.25,0.25,-2.46,2.54,-0.43,10.82,10.75,17.00,9.85,2022-06-22
127,NICGF,36.33,10.32,10.57,10.32,10.36,10.40,"21,800.00",10.53,"226,813.00",7,-0.17,0.25,-1.61,2.42,-0.43,11.61,11.56,18.12,10.18,2022-06-22
128,NICL,36.38,441.00,447.00,434.50,435.00,436.36,"2,390.00",443.10,"1,042,889.00",48,-8.1,12.5,-1.83,2.88,-0.31,742.88,759.48,"1,294.00",429.00,2022-06-22
129,NICLBSL,36.4,780.00,800.00,779.10,787.00,786.89,"3,706.00",795.00,"2,916,218.50",96,-8,20.9,-1.01,2.68,0.01,"1,050.17","1,094.07","1,780.00",761.00,2022-06-22
130,NICSF,43.64,8.10,8.16,7.94,8.10,8.00,"20,300.00",8.16,"162,436.00",14,-0.06,0.22,-0.74,2.77,1.21,8.79,9.00,10.10,7.74,2022-06-22
131,NIFRA,36.04,241.00,241.00,235.00,236.00,236.74,"47,674.00",241.00,"11,286,217.30",510,-5,6,-2.07,2.55,-0.31,320.53,326.39,536.00,230.10,2022-06-22
132,NIL,33.67,632.00,643.00,620.00,626.30,630.90,"4,706.00",644.00,"2,969,037.10",75,-17.7,23,-2.75,3.71,-0.74,"1,005.06","1,072.78","1,692.00",611.00,2022-06-22
133,NLBBL,33.5,855.10,860.00,854.00,855.00,857.00,"1,431.00",869.00,"1,226,372.50",25,-14,6,-1.61,0.7,-0.23,"1,059.63","1,144.71","1,845.00",832.10,2022-06-22
134,NLG,34.91,480.00,480.00,460.00,464.00,461.41,"8,368.00",480.00,"3,861,055.20",63,-16,20,-3.33,4.35,0.56,783.30,809.93,"1,388.00",446.40,2022-06-22
135,NLIC,38.64,702.00,710.00,690.00,693.90,696.27,"37,943.00",702.00,"26,418,613.20",475,-8.1,20,-1.15,2.9,-0.34,"1,173.60","1,305.87","2,085.00",686.20,2022-06-22
136,NLICL,39.79,528.30,532.00,520.00,531.90,522.89,"17,242.00",539.00,"9,015,641.50",118,-7.1,12,-1.32,2.31,1.69,857.46,887.66,"1,308.00",520.00,2022-06-22
137,NMB,35.59,260.00,260.00,252.90,255.00,255.22,"35,992.00",258.00,"9,185,699.60",191,-3,7.1,-1.16,2.81,-0.08,310.14,338.70,517.00,251.60,2022-06-22
138,NMB50,27.26,11.76,11.76,11.53,11.60,11.64,"37,300.00",12.00,"434,152.00",13,-0.4,0.23,-3.33,1.99,-0.34,12.58,12.31,18.47,10.72,2022-06-22
139,NMBHF1,44.04,10.81,10.81,10.66,10.66,10.77,"46,000.00",11.01,"495,360.00",10,-0.35,0.15,-3.18,1.41,-1.02,11.58,11.50,16.25,10.00,2022-06-22
140,NMBMF,37.11,700.00,710.00,691.00,704.00,700.04,676.00,701.00,"473,228.80",14,3,19,0.43,2.75,0.56,947.76,"1,068.40","1,657.00",663.00,2022-06-22
141,NMFBS,33.45,"1,820.00","1,851.00","1,785.00","1,790.00","1,807.63","1,732.00","1,820.00","3,130,807.50",43,-30,66,-1.65,3.7,-0.98,"2,378.05","2,601.10","3,925.90","1,745.00",2022-06-22
142,NRIC,33.61,652.70,655.00,639.10,643.00,644.26,"21,878.00",666.00,"14,095,076.50",430,-23,15.9,-3.45,2.49,-0.2,"1,064.01","1,148.40","1,876.00",639.10,2022-06-22
143,NRN,35.01,443.80,443.80,435.00,437.00,436.82,"4,645.00",452.80,"2,029,046.00",41,-15.8,8.8,-3.49,2.02,0.04,622.75,629.05,990.00,418.00,2022-06-22
